age_group,JPN,USA,CAN,UK,DEU,FRA,ITA,BEL,NLD,ESP,SWE,KOR,AUS,NZL
15-19,20.1,36.6,51.0,39.4,26.0,14.9,4.4,10.8,76.7,12.1,40.7,9.5,57.8,49.9
20-24,76.0,68.6,75.0,72.1,69.2,62.1,35.6,44.8,85.6,50.7,69.7,51.2,79.3,77.9
25-29,86.9,76.8,84.1,84.1,80.9,82.8,61.3,81.8,89.3,83.4,84.2,75.5,80.7,81.3
30-34,79.4,75.6,83.9,82.4,82.4,83.4,66.8,83.4,84.6,86.6,87.0,68.5,80.6,79.9
35-39,77.7,74.0,82.9,83.4,82.3,82.3,66.3,81.1,82.7,83.4,89.3,63.2,82.3,80.6
40-44,80.1,75.3,84.7,84.6,83.4,82.3,69.8,81.7,86.5,82.4,89.6,66.3,85.4,82.4
45-49,82.4,76.2,83.3,84.0,85.4,84.3,69.5,81.5,87.2,82.4,89.3,63.8,85.5,81.7
50-54,80.2,73.9,83.1,83.4,83.9,83.4,66.2,75.2,82.6,81.6,88.0,62.3,82.7,82.0
55-59,74.7,66.8,72.0,72.3,73.4,77.5,57.6,66.8,73.2,72.0,79.6,50.1,77.5,79.0
60-64,62.2,51.7,51.2,50.9,58.5,37.4,33.8,33.8,54.3,46.0,69.8,39.7,53.4,69.7
65-69,41.7,27.7,21.6,20.6,27.6,17.9,9.5,14.3,16.3,4.1,27.1,17.4,22.6,10.3
70-74,25.3,14.3,8.2,6.8,13.2,2.1,1.9,1.3,0.3,1.6,7.2,3.7,11.6,1.7
75+,7.0,6.4,2.0,1.4,5.2,1.3,0.4,0.3,0.2,0.5,1.0,0.7,3.5,1.2
15-64,73.3,68.2,75.6,74.7,74.6,70.0,55.4,65.7,80.2,70.8,80.8,59.4,75.1,77.5
65+,18.4,15.2,15.6,14.1,21.1,2.9,2.9,1.7,2.7,2.0,14.5,7.7,11.0,20.1
15+,53.5,56.1,60.6,58.6,55.2,52.2,40.1,50.0,62.8,53.7,70.9,53.3,61.2,66.1
